_id,AÑO,CVE_ENT,ENTIDAD,HOMBRES,MUJERES,DESCONOCIDO,TOTAL,POBLACION_HOMBRES,POBLACION_MUJERES,POBLACION_TOTAL,TASA_HOMBRES,TASA_MUJERES,TASA_TOTAL
1,1990,0,Nacional,1667,289,3,1959,41854639,42648349,84502988,3.98283210613763,0.677634672329285,2.31826121935475
2,1990,1,Aguascalientes,11,0,0,11,368701,382155,750856,2.98344729197914,0,1.46499461947431
3,1990,2,Baja California,38,1,0,39,876567,858476,1735043,4.33509360950161,0.116485492896715,2.24778290797404
4,1990,3,Baja California Sur,16,0,0,16,168715,160104,328819,9.48344841893133,0,4.86589886837439
5,1990,4,Campeche,36,4,0,40,282189,275162,557351,12.7574072695959,1.45368909951229,7.17680599837445
6,1990,5,Coahuila,58,6,0,64,1022262,1019988,2042250,5.67369226284456,0.58824221461429,3.13379850654915
7,1990,6,Colima,20,1,0,21,221926,221434,443360,9.01201301334679,0.451601831697029,4.73655719956694
8,1990,7,Chiapas,35,7,0,42,1674955,1648003,3322958,2.0896083775385,0.424756508331599,1.2639341213461
9,1990,8,Chihuahua,72,11,0,83,1271474,1266768,2538242,5.66271901745533,0.868351584504819,3.26997977340222
10,1990,9,Ciudad de México,203,39,0,242,4095970,4389561,8485531,4.95609098699453,0.888471535080615,2.85191345126192
11,1990,10,Durango,23,3,0,26,697666,705749,1403415,3.29670644692446,0.42508030475424,1.8526237784262
12,1990,11,Guanajuato,67,12,0,79,2020179,2117214,4137393,3.31653779194814,0.566782573702989,1.90941493834402
13,1990,12,Guerrero,24,3,0,27,1353144,1387384,2740528,1.77364715063585,0.216234294182433,0.985211608857855
14,1990,13,Hidalgo,17,4,0,21,969637,983408,1953045,1.75323342652972,0.406748775686185,1.07524404199596
15,1990,14,Jalisco,102,31,1,134,2726363,2853600,5579963,3.74124795560973,1.08634707036726,2.40144961534691
16,1990,15,Estado de México,80,38,0,118,5093051,5160093,10253144,1.57076769896865,0.736420835826021,1.15086650494717
17,1990,16,Michoacán,61,9,0,70,1823504,1904062,3727566,3.34520790741342,0.472673683945166,1.87790102173912
18,1990,17,Morelos,20,5,0,25,611466,630036,1241502,3.2708278138114,0.793605444768236,2.01368986920682
19,1990,18,Nayarit,12,3,0,15,429197,424844,854041,2.79591889039299,0.706141548427187,1.75635595949141
20,1990,19,Nuevo León,59,12,0,71,1610294,1598116,3208410,3.66392720832345,0.750884166105589,2.21293413248307
21,1990,20,Oaxaca,46,7,0,53,1556827,1596261,3153088,2.95472778927909,0.43852477758963,1.68089187488583
22,1990,21,Puebla,37,8,0,45,2127187,2201654,4328841,1.73938633509889,0.363363180590592,1.03953922077526
23,1990,22,Querétaro,20,2,0,22,545465,555730,1101195,3.66659639023585,0.359886995483418,1.99782963053773
24,1990,23,Quintana Roo,16,5,0,21,268639,247591,516230,5.95594831725848,2.01945951185625,4.06795420645836
25,1990,24,San Luis Potosí,61,8,1,70,1034764,1047397,2082161,5.89506399526849,0.763798254148141,3.36189180375581
26,1990,25,Sinaloa,47,3,0,50,1144352,1126775,2271127,4.10712787673723,0.266246588715582,2.20155015549549
27,1990,26,Sonora,62,7,0,69,953806,932094,1885900,6.50027364055164,0.750997217018884,3.65873057956413
28,1990,27,Tabasco,134,17,0,151,781923,770898,1552821,17.1372372983018,2.20522040529357,9.72423737185419
29,1990,28,Tamaulipas,71,10,0,81,1160499,1168702,2329201,6.11805783546561,0.85565011440042,3.47758737867621
30,1990,29,Tlaxcala,12,2,0,14,394980,400135,795115,3.03812851283609,0.49983130693391,1.76075158939273
31,1990,30,Veracruz,125,18,1,144,3204571,3228679,6433250,3.90067812509069,0.557503548664949,2.23837096335445
32,1990,31,Yucatán,46,9,0,55,709129,712104,1421233,6.48683102792299,1.26386033500725,3.86987918237193
33,1990,32,Zacatecas,25,4,0,29,655237,674172,1329409,3.81541335425197,0.593320398948636,2.18142046578592
34,1990,33,Extranjero,11,0,0,11,,,,,,
35,1991,0,Nacional,1804,318,6,2128,42646245,43481232,86127477,4.23014968844268,0.731350022464865,2.47075622568161
36,1991,1,Aguascalientes,10,1,0,11,380507,394287,774794,2.62807254531454,0.253622361376358,1.41973221269137
37,1991,2,Baja California,46,4,0,50,913637,894082,1807719,5.03482236380532,0.447386257636324,2.76591660540161
38,1991,3,Baja California Sur,12,2,0,14,173687,165142,338829,6.9089799466857,1.21107895023677,4.13187773183523
39,1991,4,Campeche,29,6,0,35,290783,283855,574638,9.97307270370001,2.11375526236987,6.09079107194442
40,1991,5,Coahuila,59,5,1,65,1039024,1037757,2076781,5.67840588860315,0.481808361687755,3.12984373412507
41,1991,6,Colima,17,7,0,24,226855,226565,453420,7.49377355579555,3.08962108004326,5.29310572978695
42,1991,7,Chiapas,24,7,0,31,1707869,1683710,3391579,1.40526000530486,0.41574855527377,0.914028539509179
43,1991,8,Chihuahua,106,12,1,119,1299954,1295752,2595706,8.15413468476577,0.926103143194068,4.5844945459925
44,1991,9,Ciudad de México,229,55,0,284,4104691,4400876,8505567,5.57898268103494,1.24975118590026,3.33898962879253
45,1991,10,Durango,16,3,0,19,705116,713278,1418394,2.26913018567158,0.420593373130813,1.33954317347648
46,1991,11,Guanajuato,54,11,0,65,2055718,2156046,4211764,2.62681943729636,0.51019319624906,1.54329634803849
47,1991,12,Guerrero,33,5,0,38,1375552,1410940,2786492,2.39903689573349,0.354373679958042,1.36372184093836
48,1991,13,Hidalgo,13,9,0,22,987555,1002675,1990230,1.31638237870296,0.897598922881293,1.10539987840601
49,1991,14,Jalisco,157,26,0,183,2782357,2909423,5691780,5.64269789965846,0.89364798449727,3.2151629191571
50,1991,15,Estado de México,75,21,0,96,5243427,5318299,10561726,1.43036224209854,0.394863094384125,0.908942345218954
51,1991,16,Michoacán,60,16,0,76,1850070,1932480,3782550,3.24312053057452,0.827951647623779,2.00922657995268
52,1991,17,Morelos,21,8,1,30,630610,650393,1281003,3.33010894213539,1.23002553840524,2.34191489012906
